user,first_open,dayofweek,hour,age,numscreens,minigame,used_premium_feature,enrolled,enrolled_date,liked
34071,16:05.3,3, 19:00:00,20,57,0,0,1,23:01.6,0
44814,08:23.7,1, 02:00:00,31,27,0,0,1,16:42.4,0
117488,39:54.3,0, 20:00:00,24,23,0,0,0,,1
138117,46:29.7,5, 22:00:00,27,4,0,0,1,27:46.3,0
150614,38:45.2,0, 22:00:00,33,21,0,0,1,41:27.6,0
366999,46:47.3,4, 17:00:00,48,12,1,0,0,,0
248925,07:51.6,6, 17:00:00,32,38,0,0,1,11:22.6,0
20747,24:51.9,6, 23:00:00,31,17,0,0,0,,0
354498,04:21.2,6, 19:00:00,24,16,1,1,0,,0
305707,27:47.7,2, 13:00:00,19,7,0,0,0,,0
43620,23:48.8,4, 05:00:00,37,41,0,0,1,29:36.3,0
199975,29:29.1,6, 10:00:00,37,13,0,0,1,39:52.9,0
185092,22:01.1,4, 06:00:00,45,39,0,0,1,28:08.1,1
177834,38:32.9,6, 23:00:00,34,7,0,0,0,,0
235616,46:13.7,4, 12:00:00,38,14,0,0,0,,1
350654,01:23.3,1, 21:00:00,46,18,0,0,1,10:54.3,1
149499,40:10.0,0, 01:00:00,22,8,0,0,1,27:33.7,0
277249,15:42.7,2, 19:00:00,19,27,0,0,1,19:18.7,0
58451,14:12.8,4, 07:00:00,28,52,0,0,1,48:29.9,1
163715,29:04.7,6, 14:00:00,35,48,1,0,1,36:11.9,0
274093,24:13.7,6, 16:00:00,28,32,0,0,0,,0
139567,46:36.1,3, 03:00:00,22,11,0,0,0,,0
137484,39:16.2,6, 02:00:00,21,16,0,0,1,41:26.1,0
39677,27:53.6,0, 19:00:00,25,28,0,0,1,28:52.0,0
277960,58:33.1,1, 03:00:00,23,29,0,0,1,59:16.8,0
351023,47:28.7,5, 20:00:00,32,24,0,0,1,49:58.2,0
123984,31:02.5,4, 02:00:00,34,21,0,0,1,37:09.2,0
184032,37:24.8,6, 06:00:00,24,136,1,0,1,38:10.7,0
329480,02:47.5,2, 19:00:00,25,10,0,0,1,11:40.1,0
60702,46:38.4,0, 05:00:00,31,41,0,0,1,14:47.8,0
125898,13:25.0,2, 16:00:00,27,28,0,1,1,18:35.2,0
306457,10:45.6,6, 23:00:00,17,5,0,0,0,,1
143018,34:38.2,1, 16:00:00,35,13,0,0,1,37:44.0,0
40978,01:59.6,5, 15:00:00,26,11,0,0,1,09:26.4,1
232734,23:39.2,6, 08:00:00,27,8,0,1,0,,1
172249,41:59.6,3, 18:00:00,20,18,0,0,1,07:33.9,0
22652,14:58.2,5, 04:00:00,30,47,0,0,1,18:59.7,0
127958,20:25.1,1, 04:00:00,23,47,0,0,1,30:54.4,0
86325,52:11.8,1, 21:00:00,56,13,1,0,0,,0
325393,33:45.1,2, 21:00:00,19,11,0,1,1,35:35.2,0
272545,54:53.7,2, 18:00:00,42,21,0,1,0,,0
93890,35:19.9,6, 19:00:00,24,7,0,0,0,,0
69353,12:14.6,6, 05:00:00,30,7,0,0,1,51:26.4,0
208409,34:39.0,2, 19:00:00,17,20,0,0,1,37:36.3,0
25627,45:03.0,1, 14:00:00,30,18,0,0,1,48:17.1,1
290211,00:00.8,2, 21:00:00,34,16,0,1,1,56:05.9,0
13148,03:41.2,4, 22:00:00,37,4,0,0,0,,0
140258,37:30.6,1, 10:00:00,27,34,0,0,0,,0
272434,44:10.8,5, 06:00:00,19,16,0,0,1,45:53.9,0
311539,55:34.5,4, 07:00:00,25,40,0,0,1,28:51.9,0
54898,36:16.4,6, 11:00:00,20,1,1,0,0,,0
72135,59:35.8,3, 02:00:00,34,15,0,0,1,17:15.0,0
246297,39:30.1,0, 04:00:00,24,59,0,0,1,46:34.0,0
43535,45:42.4,3, 08:00:00,43,9,0,0,1,56:13.4,0
255766,19:32.0,3, 14:00:00,41,45,0,0,1,25:56.4,0
182086,14:55.8,3, 14:00:00,21,25,0,0,1,21:31.3,0
353697,26:54.5,4, 22:00:00,29,33,0,0,1,28:35.0,1
151404,58:25.4,1, 03:00:00,33,7,1,1,1,02:36.1,0
78196,51:47.8,5, 19:00:00,26,29,1,0,0,,0
317630,24:31.2,4, 21:00:00,24,3,0,0,0,,0
96320,39:23.7,4, 19:00:00,17,4,0,0,0,,0
3052,49:33.8,5, 23:00:00,41,38,0,0,0,,0
214961,39:51.9,0, 12:00:00,30,21,1,1,1,34:50.0,1
120380,47:37.5,3, 23:00:00,33,6,0,0,1,56:02.3,0
179917,47:15.6,5, 15:00:00,23,49,0,0,1,56:32.8,0
130555,32:13.8,5, 03:00:00,20,6,0,0,1,35:10.7,0
272615,58:29.5,1, 18:00:00,31,8,0,0,1,50:10.1,0
15106,39:43.2,5, 12:00:00,22,20,0,0,1,41:59.8,0
202340,59:22.6,1, 13:00:00,30,41,0,0,1,02:26.4,0
105984,36:22.5,6, 06:00:00,39,40,0,0,1,37:02.3,0
155491,57:58.7,4, 21:00:00,31,25,0,1,1,28:39.1,0
216192,50:22.0,3, 01:00:00,21,34,0,0,1,52:48.7,0
316136,24:26.2,4, 15:00:00,37,11,0,0,0,,0
35333,11:03.9,1, 04:00:00,17,89,0,0,1,21:05.5,0
169339,46:07.5,2, 00:00:00,31,22,0,0,1,47:09.7,0
94763,56:52.0,1, 16:00:00,47,8,0,0,0,,1
177859,35:25.9,6, 05:00:00,24,20,0,0,1,36:58.3,0
27513,49:59.2,6, 16:00:00,32,25,1,0,1,51:18.9,0
368717,46:44.4,3, 18:00:00,25,25,0,1,1,19:23.5,0
165008,39:05.1,3, 18:00:00,25,43,0,0,0,,0
109154,51:54.4,4, 23:00:00,26,13,0,0,1,52:34.1,0
276264,15:23.9,4, 07:00:00,18,20,0,0,0,,0
154536,59:36.5,1, 04:00:00,29,47,1,1,1,01:55.4,0
116034,04:18.9,5, 12:00:00,20,39,0,1,1,08:41.7,0
167756,30:49.5,1, 12:00:00,22,38,0,0,1,33:22.2,0
56270,09:26.2,6, 22:00:00,46,35,0,0,1,11:33.2,1
144393,03:43.9,1, 21:00:00,31,36,1,0,1,08:16.5,0
138529,14:42.2,1, 18:00:00,45,22,1,0,0,,0
339263,08:59.7,3, 19:00:00,28,12,0,0,0,,0
364344,29:29.1,1, 22:00:00,42,37,1,0,1,43:54.4,0
262301,19:06.2,4, 03:00:00,23,20,1,1,1,21:41.5,1
89726,35:39.4,6, 17:00:00,24,13,0,0,1,38:43.2,1
312461,43:15.5,2, 13:00:00,19,11,0,0,1,46:31.6,0
62035,13:31.6,6, 07:00:00,38,13,1,1,1,15:10.3,0
264696,29:00.3,5, 19:00:00,27,14,0,1,1,39:35.3,1
269067,16:51.8,0, 03:00:00,33,19,0,0,1,27:47.1,0
347837,54:34.4,2, 07:00:00,28,40,0,0,0,,0
229111,16:10.6,6, 00:00:00,53,16,0,0,1,25:37.0,0
25410,51:01.0,1, 20:00:00,27,43,0,0,1,54:29.5,0
247778,56:36.6,2, 21:00:00,30,6,0,0,1,18:26.8,0
93446,06:24.4,2, 17:00:00,24,27,0,0,1,50:16.2,1
155344,42:13.8,4, 22:00:00,44,56,1,1,0,,0
348712,45:23.3,0, 00:00:00,33,31,0,1,1,00:42.6,0
197551,06:43.3,4, 09:00:00,22,33,0,0,0,,1
178798,19:02.9,6, 02:00:00,49,12,0,1,0,,0
316132,13:27.9,4, 14:00:00,42,29,1,0,1,15:30.1,0
133446,41:03.9,4, 01:00:00,29,32,0,0,1,43:37.8,1
94214,55:02.1,2, 04:00:00,26,30,0,0,1,12:40.6,1
217161,46:15.2,5, 23:00:00,39,12,0,0,0,,1
241331,26:04.0,2, 17:00:00,19,12,0,1,0,,0
8244,19:17.0,1, 13:00:00,58,13,0,0,0,,1
135746,04:39.5,3, 23:00:00,36,2,0,0,1,05:04.9,1
354357,38:05.1,1, 13:00:00,19,6,0,0,0,,0
183537,07:56.2,4, 17:00:00,33,5,1,1,0,,0
240067,44:33.2,4, 15:00:00,46,27,0,0,1,48:19.5,0
231204,11:04.9,3, 04:00:00,38,30,0,0,1,17:39.1,0
12895,22:41.4,6, 22:00:00,21,11,0,0,1,08:41.3,0
255296,04:04.4,5, 21:00:00,28,36,0,0,1,05:50.6,0
235640,57:55.1,3, 00:00:00,25,9,0,0,0,,0
30069,20:30.2,6, 19:00:00,20,24,0,0,0,,0
116493,30:06.6,1, 18:00:00,21,44,0,0,1,03:38.4,0
271120,17:21.2,0, 18:00:00,24,27,0,0,1,21:54.9,0
270132,25:59.7,4, 00:00:00,19,92,0,0,1,50:28.3,0
7914,42:20.9,4, 14:00:00,30,17,0,0,1,43:30.6,0
145742,11:35.1,1, 21:00:00,17,9,0,0,1,15:52.4,0
233803,44:33.5,1, 01:00:00,47,8,0,0,0,,0
182226,31:43.2,4, 16:00:00,23,20,0,0,1,33:39.5,0
100926,24:54.2,5, 23:00:00,38,22,0,0,0,,0
284326,40:53.2,0, 01:00:00,37,23,0,0,1,44:43.9,0
328645,08:19.0,1, 03:00:00,18,16,0,0,1,10:11.3,0
353523,41:10.3,4, 10:00:00,39,12,0,0,1,44:46.4,0
270946,57:15.3,5, 06:00:00,20,20,0,0,1,09:03.0,0
99313,39:08.7,0, 13:00:00,19,23,0,0,0,,0
133478,57:27.7,1, 17:00:00,24,9,0,0,1,57:27.7,0
173108,57:50.8,6, 02:00:00,20,26,0,0,0,,0
99535,17:13.7,6, 08:00:00,41,59,0,0,1,18:15.0,1
356130,22:33.2,5, 11:00:00,60,10,0,0,1,27:41.8,1
213074,38:39.1,5, 20:00:00,21,31,0,0,1,40:06.2,0
89934,45:18.2,5, 17:00:00,40,51,0,0,0,,0
88818,35:36.2,1, 07:00:00,24,26,0,0,1,41:38.1,1
365442,21:57.4,0, 15:00:00,60,6,0,0,0,,1
157846,52:48.5,1, 06:00:00,27,6,0,0,0,,0
262169,49:15.6,1, 18:00:00,22,8,0,0,1,50:25.6,0
334017,50:11.2,0, 21:00:00,20,27,0,0,0,,0
137410,42:11.6,1, 22:00:00,26,57,0,0,0,,0
67270,26:40.8,5, 16:00:00,23,3,0,0,0,,0
74986,27:56.6,6, 16:00:00,24,22,0,1,1,47:57.6,0
141543,24:10.8,0, 20:00:00,28,16,0,0,1,25:45.8,0
267454,57:35.3,0, 17:00:00,29,15,0,1,0,,0
2584,57:31.2,4, 21:00:00,32,13,0,0,0,,0
153178,13:10.7,6, 07:00:00,23,27,0,0,1,16:21.4,0
282214,53:18.6,2, 08:00:00,21,22,1,0,1,54:15.3,1
370820,15:14.8,2, 20:00:00,18,36,0,0,1,17:32.3,0
304331,05:34.9,5, 01:00:00,26,70,0,0,1,08:01.6,0
47893,36:29.4,0, 22:00:00,43,58,1,0,1,38:13.7,0
21054,46:53.8,6, 02:00:00,37,9,0,0,0,,1
81825,21:34.0,1, 10:00:00,28,15,0,0,1,04:27.7,1
269391,52:45.6,2, 20:00:00,21,13,0,1,0,,0
234265,24:16.3,0, 10:00:00,31,24,0,0,1,50:48.0,1
36273,45:27.3,0, 15:00:00,46,6,0,0,0,,0
128464,29:09.9,6, 04:00:00,45,4,0,1,0,,0
309069,36:46.7,6, 20:00:00,29,1,1,0,1,43:54.9,1
32977,33:58.1,5, 07:00:00,44,16,0,0,1,01:17.0,0
152086,53:57.5,6, 16:00:00,40,13,0,1,0,,1
90836,46:11.4,3, 06:00:00,27,23,0,0,0,,0
324080,31:21.9,4, 14:00:00,50,16,1,0,1,33:03.5,0
132356,52:44.0,2, 04:00:00,19,15,0,1,1,12:46.5,0
84550,34:47.1,5, 00:00:00,23,34,0,0,1,34:53.9,0
335132,11:31.1,6, 17:00:00,40,2,0,0,0,,0
61310,04:17.5,1, 22:00:00,38,66,0,1,0,,0
276122,41:57.3,0, 18:00:00,23,25,0,0,1,07:14.6,0
243662,30:46.1,1, 16:00:00,19,24,0,0,0,,0
72928,34:05.1,4, 20:00:00,52,11,0,0,1,38:55.5,0
195650,52:01.2,2, 22:00:00,29,6,0,0,1,49:27.2,0
237569,28:43.6,1, 18:00:00,24,21,0,0,1,22:26.0,0
88251,31:13.5,1, 19:00:00,20,19,0,0,0,,0
313088,45:52.9,5, 18:00:00,24,46,0,0,1,49:17.6,0
246668,50:20.9,4, 19:00:00,56,6,0,0,0,,0
260440,43:08.8,2, 07:00:00,23,27,0,0,1,24:50.5,0
93801,20:36.6,1, 22:00:00,21,19,0,1,0,,0
325447,27:40.3,0, 00:00:00,24,28,0,0,1,55:13.2,0
84955,19:11.8,1, 15:00:00,48,55,0,0,1,20:03.4,1
166886,16:20.1,6, 09:00:00,18,11,0,0,0,,0
67380,47:51.0,1, 13:00:00,42,13,0,0,0,,0
336299,26:59.1,6, 10:00:00,31,4,0,0,1,16:57.6,0
217381,37:34.4,6, 19:00:00,22,8,0,0,0,,0
595,03:35.0,5, 00:00:00,21,23,0,0,0,,1
176032,09:09.7,6, 19:00:00,19,17,0,0,1,18:01.2,0
81054,48:31.5,4, 02:00:00,31,12,0,0,1,36:07.3,0
119550,44:44.4,6, 14:00:00,38,40,0,0,1,58:32.3,0
300225,12:12.5,1, 14:00:00,57,25,0,1,0,,0
233560,04:22.0,0, 03:00:00,22,22,0,1,1,21:52.1,0
235763,44:59.4,0, 11:00:00,23,13,0,0,1,58:01.0,0
99595,59:20.9,1, 14:00:00,26,4,0,0,1,13:05.5,1
113895,59:33.0,1, 06:00:00,23,5,0,0,0,,0
106449,30:56.0,5, 03:00:00,47,10,0,0,0,,0
252384,50:29.0,2, 16:00:00,60,24,0,0,0,,0
355389,29:28.2,4, 01:00:00,30,61,1,0,0,,0
11366,57:43.4,3, 13:00:00,53,24,0,0,1,59:07.1,0
207380,23:30.3,6, 19:00:00,25,25,0,0,1,24:52.8,0
322521,37:21.7,5, 23:00:00,39,75,0,1,1,51:56.0,0
326276,05:16.5,6, 22:00:00,24,55,1,0,1,08:47.1,1
26534,15:38.8,0, 17:00:00,33,12,0,0,1,16:51.2,0
67930,25:52.2,4, 14:00:00,39,28,0,0,0,,0
321781,28:02.7,6, 04:00:00,21,10,0,0,1,11:03.1,0
311122,12:59.3,5, 21:00:00,49,9,1,0,1,14:14.8,0
22724,57:26.2,1, 20:00:00,34,39,0,0,1,58:17.8,0
54275,49:16.5,5, 01:00:00,37,34,0,1,0,,0
133403,25:38.2,3, 00:00:00,24,10,0,0,0,,0
22623,22:56.5,6, 04:00:00,19,50,0,0,1,30:33.1,0
152107,45:21.8,3, 10:00:00,33,1,0,0,1,22:05.0,0
206614,50:56.1,1, 13:00:00,36,5,0,0,0,,0
152317,46:04.9,3, 03:00:00,42,46,0,0,0,,0
186231,10:01.4,5, 07:00:00,22,23,0,0,1,19:55.0,0
154510,54:38.3,0, 16:00:00,62,44,0,0,0,,0
35868,09:59.5,1, 20:00:00,18,9,0,0,0,,0
252276,36:29.1,0, 17:00:00,27,42,0,0,1,43:09.8,1
96475,29:38.8,2, 18:00:00,40,26,1,1,1,31:53.5,0
48738,14:08.3,4, 10:00:00,47,9,0,0,0,,0
128061,54:43.0,0, 21:00:00,24,16,0,0,1,55:36.4,0
360310,24:02.3,6, 18:00:00,63,19,0,0,1,56:20.9,0
33056,28:00.2,3, 06:00:00,21,10,0,0,0,,1
155464,13:30.3,1, 17:00:00,37,13,0,0,1,14:21.3,0
254646,18:26.6,4, 02:00:00,39,20,0,0,1,58:50.1,0
9219,11:34.5,0, 01:00:00,41,19,0,0,0,,1
343109,33:17.4,4, 02:00:00,28,10,0,0,1,34:29.7,1
173971,02:25.3,4, 02:00:00,41,36,0,0,0,,0
301014,29:57.5,1, 18:00:00,45,10,0,1,0,,0
197481,18:27.2,5, 06:00:00,32,22,0,1,1,53:36.3,0
310735,56:13.4,2, 18:00:00,32,27,1,1,1,57:20.8,0
128593,30:06.1,1, 01:00:00,31,14,0,0,1,32:19.8,0
230906,32:08.0,3, 16:00:00,29,37,1,1,1,54:47.2,0
140466,27:35.4,1, 13:00:00,49,2,0,0,0,,0
335518,50:24.5,4, 04:00:00,34,8,0,0,0,,1
303117,39:05.4,4, 04:00:00,16,22,0,0,1,42:18.2,0
122893,38:53.0,4, 13:00:00,45,7,0,0,0,,0
17958,10:03.3,2, 21:00:00,21,7,0,1,0,,0
258498,52:15.4,6, 21:00:00,21,34,0,0,1,00:33.1,0
231701,24:14.8,0, 23:00:00,29,25,0,0,1,31:13.2,0
79140,17:24.5,2, 19:00:00,19,34,0,0,1,20:40.7,0
143464,32:17.0,4, 20:00:00,25,3,0,1,0,,1
25387,48:08.4,0, 04:00:00,22,46,0,0,1,11:20.3,0
144820,30:17.0,4, 20:00:00,28,40,0,0,1,35:00.2,0
353289,35:51.3,4, 10:00:00,20,33,0,1,1,38:39.5,0
53795,23:36.3,4, 04:00:00,19,16,0,0,1,24:30.9,0
254594,35:52.9,5, 09:00:00,38,16,0,0,1,01:52.3,1
197255,12:16.5,5, 23:00:00,33,22,0,0,1,32:07.2,0
2883,22:24.7,1, 16:00:00,19,31,0,0,1,23:12.7,0
349090,04:33.4,0, 19:00:00,24,14,1,1,1,18:27.0,0
85455,35:40.7,2, 18:00:00,29,4,0,0,0,,0
145673,20:38.2,5, 19:00:00,41,34,0,1,1,54:35.1,0
186933,24:35.8,3, 12:00:00,53,4,0,0,0,,1
251478,30:44.6,1, 00:00:00,50,7,0,1,0,,0
200863,42:30.9,2, 16:00:00,41,50,1,1,1,50:30.1,0
127933,42:59.6,3, 17:00:00,31,36,0,1,0,,0
233385,28:32.6,5, 15:00:00,28,12,0,1,0,,0
23306,39:53.3,6, 14:00:00,21,42,0,0,1,40:30.1,0
286703,53:42.2,5, 13:00:00,26,4,0,0,0,,0
203193,49:30.6,6, 06:00:00,25,16,0,0,0,,1
112721,12:04.3,5, 23:00:00,48,47,0,1,0,,0
53596,25:32.4,3, 23:00:00,53,13,0,0,1,28:06.1,0
124230,52:42.4,6, 22:00:00,28,15,0,0,1,05:06.6,1
229047,31:35.0,6, 16:00:00,28,8,0,0,1,15:01.9,0
136619,45:32.9,0, 11:00:00,31,25,0,0,1,08:00.3,0
116811,16:41.8,3, 03:00:00,18,33,0,1,1,20:08.3,0
305867,09:11.4,3, 22:00:00,42,66,0,0,1,12:11.7,0
170136,09:06.4,1, 07:00:00,24,22,0,0,1,13:45.7,0
250278,24:32.8,1, 18:00:00,22,45,1,1,0,,0
285027,33:46.6,1, 10:00:00,43,17,0,0,1,37:04.4,1
73851,41:24.9,1, 21:00:00,50,14,0,0,1,46:13.2,1
232465,17:27.8,6, 23:00:00,46,16,0,0,0,,0
188772,28:41.1,3, 18:00:00,39,34,1,0,1,47:38.5,0
108952,07:27.9,0, 23:00:00,41,44,0,0,0,,0
198468,04:15.1,5, 17:00:00,49,13,0,0,1,17:50.8,0
32801,46:26.3,6, 10:00:00,25,16,0,0,1,10:07.7,0
238005,06:07.0,3, 13:00:00,45,21,0,1,0,,0
199158,25:21.3,2, 16:00:00,24,29,0,0,0,,0
271226,52:19.2,5, 16:00:00,33,11,1,0,1,57:39.6,0
281508,33:38.2,4, 11:00:00,50,3,0,0,1,45:45.1,1
306524,46:58.7,6, 03:00:00,29,6,0,0,0,,0
175259,00:00.4,4, 15:00:00,24,44,1,0,1,11:18.1,0
297186,41:37.9,4, 18:00:00,47,18,0,1,0,,0
155878,12:05.8,3, 10:00:00,26,10,0,1,1,13:02.4,0
182135,52:28.3,5, 23:00:00,44,9,0,1,1,22:04.5,0
46126,46:12.7,3, 06:00:00,24,5,0,0,1,16:30.3,1
107443,29:52.2,6, 22:00:00,16,29,0,0,1,33:20.2,0
118416,31:56.1,1, 17:00:00,54,20,0,1,0,,0
341423,44:06.4,6, 21:00:00,34,13,0,1,0,,0
160626,52:32.5,0, 09:00:00,28,15,1,0,1,52:58.3,0
100405,10:02.5,4, 04:00:00,43,24,0,0,1,17:10.8,0
128888,51:17.8,4, 11:00:00,24,31,0,0,1,07:35.4,0
92634,39:43.1,2, 11:00:00,18,36,0,0,1,42:02.2,0
267695,59:53.2,1, 03:00:00,36,37,1,0,0,,0
29236,21:07.3,5, 09:00:00,48,36,0,0,0,,0
230530,57:34.1,0, 19:00:00,28,27,0,0,1,58:54.6,0
143973,11:04.4,6, 03:00:00,21,8,0,0,0,,0
370727,39:26.5,2, 21:00:00,25,7,0,1,1,54:10.2,1
133018,44:37.8,0, 11:00:00,30,20,0,0,1,04:46.1,0
151582,11:40.2,0, 21:00:00,29,9,0,0,0,,0
297566,06:51.0,6, 16:00:00,23,22,0,0,1,10:32.8,0
60228,26:06.9,4, 19:00:00,50,4,0,0,1,00:29.2,0
237396,26:29.2,4, 16:00:00,33,10,0,0,0,,0
36761,24:11.9,5, 23:00:00,58,12,0,0,0,,1
109856,28:46.3,6, 18:00:00,37,22,0,0,1,30:35.0,0
86698,34:20.0,3, 03:00:00,40,22,0,0,0,,0
363038,32:30.2,1, 19:00:00,25,5,0,1,0,,0
178568,55:30.3,5, 17:00:00,24,15,0,0,0,,0
160220,35:36.2,5, 17:00:00,28,7,0,0,0,,1
34699,04:02.8,3, 15:00:00,58,1,0,0,0,,0
290875,15:40.6,4, 02:00:00,32,5,0,0,1,38:24.0,0
122398,30:50.9,3, 19:00:00,70,19,0,0,1,34:50.5,0
125696,54:22.0,5, 03:00:00,30,27,0,0,1,29:01.6,0
272810,41:18.4,4, 19:00:00,20,24,0,0,0,,0
326894,54:07.0,0, 00:00:00,26,15,0,1,0,,1
131306,55:57.1,0, 12:00:00,29,31,0,0,1,01:48.3,0
90792,55:54.4,6, 08:00:00,20,46,0,0,1,45:48.1,0
319339,53:33.6,4, 16:00:00,45,2,0,0,1,22:30.6,0
54550,00:39.7,0, 05:00:00,22,20,0,1,1,05:18.1,0
84304,07:07.2,6, 00:00:00,56,17,1,0,1,14:09.8,1
270393,15:24.8,0, 22:00:00,57,8,0,0,0,,0
253671,01:21.3,0, 16:00:00,25,32,0,0,1,12:44.4,0
24085,15:05.9,6, 18:00:00,33,7,0,0,0,,0
327287,18:04.1,4, 04:00:00,25,47,1,0,1,24:55.9,0
240799,08:37.3,0, 09:00:00,19,7,0,0,0,,0
289549,29:20.6,1, 15:00:00,42,6,0,0,0,,1
173911,37:12.8,1, 02:00:00,34,13,0,0,1,39:20.2,0
97134,54:05.5,6, 01:00:00,18,27,0,0,1,55:13.8,1
135099,24:31.9,3, 13:00:00,21,10,0,0,0,,0
69956,12:35.7,0, 18:00:00,30,40,0,0,0,,0
80219,06:01.5,6, 04:00:00,29,16,0,0,0,,0
46563,37:56.1,3, 17:00:00,30,9,0,0,0,,1
294403,53:54.1,5, 05:00:00,25,1,0,0,1,24:41.8,0
304249,08:26.2,3, 14:00:00,31,26,0,0,0,,0
372442,02:34.4,4, 20:00:00,42,16,0,0,1,16:53.0,1
199441,44:12.9,0, 12:00:00,45,23,0,0,0,,0
97769,03:22.9,5, 03:00:00,24,55,0,0,0,,0
46254,20:30.4,2, 18:00:00,26,31,0,0,1,25:34.9,1
130934,59:21.7,0, 19:00:00,40,20,0,0,0,,0
145884,31:03.9,3, 17:00:00,33,1,0,1,1,53:36.4,0
101879,52:12.6,3, 10:00:00,24,11,0,0,0,,1
212023,32:07.2,4, 22:00:00,24,19,0,1,0,,0
41405,59:40.7,0, 09:00:00,21,29,0,0,1,01:15.1,1
25668,01:59.8,6, 04:00:00,38,19,0,0,1,43:41.5,0
250091,07:34.9,6, 19:00:00,27,8,0,0,0,,0
151896,16:32.4,6, 02:00:00,33,18,0,0,0,,0
90918,03:49.2,4, 21:00:00,28,49,0,0,1,07:12.5,0
100779,22:43.5,4, 23:00:00,30,37,0,0,1,24:41.4,0
344817,30:46.3,6, 18:00:00,40,8,0,0,1,42:33.6,0
93997,11:19.2,4, 04:00:00,34,34,0,0,0,,0
167899,59:54.4,5, 03:00:00,21,4,0,0,0,,0
